#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
445,2021/02/04,2021020403006863,39,33,650,163.0,105950.0
447,2021/02/04,2021020403005266,34,36,500,163.0,81500.0
449,2021/02/03,2021020303025928,58,22,20,164.0,3280.0
451,2021/02/07,2021020703001214,43,35,10,164.0,1640.0
453,2021/02/04,2021020403024082,42,25,40,161.0,6440.0
455,2021/02/04,2021020403024013,4,42,200,161.0,32200.0
457,2021/02/04,2021020403023749,39,48,100,163.0,16300.0
459,2021/02/04,2021020403023557,13,25,790,162.0,127980.0
461,2021/02/04,2021020403021046,5,16,70,163.0,11410.0
463,2021/02/04,2021020403018820,19,43,300,162.0,48600.0
465,2021/02/04,2021020403018052,1,38,130,162.0,21060.0
467,2021/02/04,2021020403018048,57,38,40,162.0,6480.0
469,2021/02/04,2021020403017903,21,55,250,163.0,40750.0
471,2021/02/04,2021020403016143,26,42,1000,164.0,164000.0
473,2021/02/04,2021020403015439,21,52,135,163.0,22005.0
475,2021/02/04,2021020403014262,20,46,264,164.0,43296.0
477,2021/02/04,2021020403013517,21,45,30,163.0,4890.0
479,2021/02/04,2021020403012283,40,28,1000,165.0,165000.0
481,2021/02/04,2021020403012279,40,35,30,165.0,4950.0
483,2021/02/04,2021020403012275,40,19,50,164.0,8200.0
485,2021/02/04,2021020403011643,34,25,1000,163.0,163000.0
487,2021/02/04,2021020403010463,34,44,100,163.0,16300.0
